,0,1,2,3,4,5,6,7,8,9,10,11,12,username
365,2,1,0,1,1,6,1,9,8,84,75,12,158,37
366,1,0,2,3,3,4,2,5,3,66,76,0,228,161
367,2,0,0,1,2,0,7,14,4,79,165,16,419,399
368,1,2,0,3,2,3,4,3,0,23,179,5,291,576
369,2,0,2,2,1,0,0,1,7,70,96,16,310,332
370,1,0,2,3,5,6,7,6,5,77,65,0,20,116
371,1,2,0,4,5,1,7,3,7,19,291,19,394,329
372,2,1,2,5,0,6,5,4,20,30,162,19,67,322
373,0,2,2,3,4,5,0,1,21,70,76,0,45,331
374,2,1,2,5,5,2,3,3,15,29,232,0,218,573
375,1,2,0,2,2,6,1,5,11,4,55,17,181,424
376,1,2,3,1,3,3,4,4,5,82,140,19,303,249
377,0,0,3,2,0,0,7,4,11,95,269,17,208,549
378,2,0,1,2,4,3,7,1,21,7,204,4,391,481
379,0,1,2,3,5,6,4,10,12,75,2,6,36,321
380,1,2,0,2,3,3,4,4,12,42,57,0,420,605
381,1,2,3,3,3,0,5,2,8,29,35,5,139,561
382,0,0,2,4,4,3,0,7,9,97,11,0,144,586
383,1,2,2,5,5,0,2,3,19,53,256,16,487,393
384,0,0,1,5,0,2,3,9,14,71,210,0,180,429
385,1,2,2,2,2,3,2,4,6,33,127,10,264,401
386,0,0,2,2,5,6,1,11,11,23,303,17,48,555
387,2,1,0,0,4,4,4,4,4,41,153,15,472,172
388,2,1,3,3,1,1,4,11,11,14,79,4,286,247
389,2,1,1,2,2,6,0,2,18,26,265,0,225,125
390,0,1,3,2,2,5,4,13,9,38,100,19,433,606
391,1,2,1,0,1,4,7,12,17,94,170,20,459,412
392,1,0,0,0,0,2,5,6,16,15,261,11,109,260
393,1,2,0,0,1,0,4,7,1,18,25,9,439,438
394,1,2,3,2,5,0,6,2,7,45,44,2,152,316
395,1,2,0,3,2,2,1,4,19,20,193,15,307,279
396,2,1,0,2,5,0,1,9,6,33,41,4,363,450
397,1,2,2,0,1,6,1,8,9,28,201,0,192,436
398,2,1,3,3,2,6,3,5,22,36,300,18,341,13
399,1,2,3,5,3,1,3,2,18,36,46,0,325,58
400,1,2,3,4,2,6,5,4,3,15,127,3,485,137
401,1,2,2,3,5,2,0,4,22,60,299,12,159,66
402,2,1,3,5,4,3,4,9,17,27,116,3,410,213
403,0,1,2,4,1,3,4,5,8,6,219,0,254,300
404,1,2,2,4,5,3,6,14,21,25,200,4,229,221
405,2,1,2,0,5,5,5,9,22,62,39,10,443,388
406,2,1,2,0,1,1,6,12,19,23,234,8,108,370
407,1,2,2,3,3,6,2,2,4,28,55,5,100,36
408,1,2,2,4,5,1,4,13,18,42,28,6,462,414
409,1,2,3,2,0,6,3,0,10,56,24,5,238,250
410,1,2,1,2,0,6,3,4,10,21,67,12,470,47
411,2,1,1,4,4,5,7,4,13,95,145,5,140,350
412,2,1,2,4,0,5,5,14,2,14,4,0,376,264
413,2,1,3,1,4,2,0,12,22,47,238,0,271,223
414,1,2,0,3,0,6,2,10,4,50,51,3,67,318
415,1,1,1,3,4,1,1,2,4,66,206,11,417,646
416,2,1,0,3,2,6,3,1,0,27,293,5,287,337
417,1,2,3,5,5,5,0,3,15,38,54,6,294,621
418,1,2,1,5,5,2,2,13,9,68,293,0,266,615
419,2,1,2,2,1,3,4,4,14,72,62,19,13,366
420,2,1,1,2,1,0,0,11,18,14,206,16,147,22
421,2,1,2,1,2,4,3,1,5,59,143,8,28,663
422,1,0,0,2,5,6,1,4,5,66,88,9,104,562
423,2,1,2,5,3,1,0,12,6,35,262,0,91,67
424,2,1,1,5,2,3,4,13,12,50,254,4,423,210
425,2,0,0,3,0,1,3,1,21,14,132,17,466,506
426,1,2,2,2,5,6,4,13,11,41,97,6,269,345
427,2,1,0,0,5,3,0,8,1,31,182,0,270,628
428,1,2,0,2,1,2,4,4,14,6,31,1,105,341
429,2,1,1,1,3,3,5,0,12,88,259,14,152,132
430,1,2,1,3,2,5,1,11,19,32,203,12,280,50
431,1,2,0,2,1,5,7,8,11,53,147,3,52,513
432,1,2,1,3,3,6,6,13,21,30,213,12,202,460
433,1,2,0,3,5,2,3,6,21,78,2,0,171,32
