,friend1,friend2,weight
410,prakhar.goel.71,priyeshkumar32,0.14285714285714285
411,prakhar.goel.71,100018219152388,0.21428571428571427
412,prakhar.goel.71,tanmay.garg.7,0.14285714285714285
413,prakhar.goel.71,100009019619470,0.14285714285714285
414,prakhar.goel.71,deeizzbak,0.21428571428571427
415,prakhar.goel.71,divyansh.agarwal2,0.21428571428571427
416,prakhar.goel.71,sidvarshney,0.14285714285714285
417,prakhar.goel.71,ishani.1402,0.0
418,prakhar.goel.71,hilarious.memes.page/,0.0
419,prakhar.goel.71,bhavya.srivastava2,0.07142857142857142
420,raunak.mokhasi,kshitij.gulati,0.0
421,raunak.mokhasi,abhimanyu.lakra.5,0.21428571428571427
422,raunak.mokhasi,tejal.mathur,0.14285714285714285
423,raunak.mokhasi,prakhar.goel.71,0.14285714285714285
424,raunak.mokhasi,ChelseaFC/,0.0
425,raunak.mokhasi,tanish.jain.1293575,0.0
426,raunak.mokhasi,yatin20,0.0
427,raunak.mokhasi,vaibhav.jayant.186,0.42857142857142855
428,raunak.mokhasi,sudhanshu.kumar36,0.07142857142857142
429,raunak.mokhasi,bhavay.wadhwa.7,0.0
430,raunak.mokhasi,shaney.waris.5,0.0
431,raunak.mokhasi,pavanc7,0.2857142857142857
432,raunak.mokhasi,rohan.dhariwal.773,0.14285714285714285
433,raunak.mokhasi,shreya.prasad.528,0.2857142857142857
434,raunak.mokhasi,angel.walia.79069,0.21428571428571427
435,raunak.mokhasi,piyushranjan.sahoo.7,0.14285714285714285
436,raunak.mokhasi,nishtha.singhal3,0.21428571428571427
437,raunak.mokhasi,yashwanth.babu,0.07142857142857142
438,raunak.mokhasi,imagesthatshouldnotexist/,0.0
439,raunak.mokhasi,Drake/,0.0
440,raunak.mokhasi,gargarjun14,0.2857142857142857
441,raunak.mokhasi,aakash.sehrawat.507,0.14285714285714285
442,raunak.mokhasi,arav.malik.587,0.14285714285714285
443,raunak.mokhasi,100010141837433,0.2857142857142857
444,raunak.mokhasi,aarish.chhabra.1,0.2857142857142857
445,raunak.mokhasi,jatin.singhal.397,0.07142857142857142
446,raunak.mokhasi,PremiumPosting/,0.0
447,raunak.mokhasi,priyanshi.jain.940,0.14285714285714285
448,raunak.mokhasi,ashwin.gill.39,0.07142857142857142
449,raunak.mokhasi,anvit.sachdev,0.2857142857142857
450,raunak.mokhasi,amogh.gulati,0.21428571428571427
451,raunak.mokhasi,jayant.malik.75,0.07142857142857142
452,raunak.mokhasi,lakshay.dahiya.12,0.07142857142857142
453,raunak.mokhasi,scooby7shaggy,0.0
454,raunak.mokhasi,raghav.rathi.999,0.14285714285714285
455,raunak.mokhasi,dhruvvermaa,0.14285714285714285
456,raunak.mokhasi,tanisha.pandey.3720,0.21428571428571427
457,raunak.mokhasi,parikshit.pruthi,0.21428571428571427
458,raunak.mokhasi,100009402341466,0.21428571428571427
459,raunak.mokhasi,tejas.greenday,0.21428571428571427
460,raunak.mokhasi,nikita.chopra.505,0.21428571428571427
461,raunak.mokhasi,vishal.samal.90,0.14285714285714285
462,raunak.mokhasi,yemgee,0.14285714285714285
463,raunak.mokhasi,madhavsainanee,0.0
464,raunak.mokhasi,lakshya.bansal1,0.07142857142857142
465,raunak.mokhasi,100017424158038,0.14285714285714285
466,raunak.mokhasi,shloakaggarwal,0.21428571428571427
467,raunak.mokhasi,sai.santosh21099,0.14285714285714285
468,raunak.mokhasi,100005050664528,0.2857142857142857
469,raunak.mokhasi,sujay237,0.14285714285714285
470,raunak.mokhasi,rohanrajpal1,0.0
471,raunak.mokhasi,chirayuprasad,0.21428571428571427
472,raunak.mokhasi,swapnil.bansal.161,0.14285714285714285
473,raunak.mokhasi,vaibhav.goel.984,0.14285714285714285
474,raunak.mokhasi,atul.anand.9047,0.0
475,raunak.mokhasi,vshall.r.dutta,0.14285714285714285
476,raunak.mokhasi,anmol.singhal.397,0.07142857142857142
477,raunak.mokhasi,anshul.gautam.754,0.0
478,raunak.mokhasi,hananabhamid,0.07142857142857142
479,raunak.mokhasi,brijesh.tripathi.378,0.14285714285714285
480,raunak.mokhasi,pulkitsharmaa24,0.07142857142857142
481,raunak.mokhasi,ramachandran.narayanan.754,0.0
482,raunak.mokhasi,deepanshu.kaushal.182,0.14285714285714285
483,raunak.mokhasi,mihir.goyal.7,0.07142857142857142
484,raunak.mokhasi,100009386551595,0.21428571428571427
485,raunak.mokhasi,sahilartfusion,0.07142857142857142
486,raunak.mokhasi,nehabhairavi.prakriya,0.21428571428571427
487,raunak.mokhasi,TheRealJuz0,0.0
488,raunak.mokhasi,deepankar.aggarwal.12,0.0
489,raunak.mokhasi,sumit.raj.39142,0.14285714285714285
490,raunak.mokhasi,abhishek.soni.750,0.14285714285714285
491,raunak.mokhasi,iitkmemecell/,0.0
492,raunak.mokhasi,harshbandhey,0.21428571428571427
493,raunak.mokhasi,sanket.khajuria,0.07142857142857142
494,raunak.mokhasi,vaibhav.goel.984,0.14285714285714285
495,raunak.mokhasi,notmanan,0.2857142857142857
496,raunak.mokhasi,dakshah,0.07142857142857142
497,raunak.mokhasi,anant3110,0.35714285714285715
498,raunak.mokhasi,GrandpaKitchen/,0.0
499,raunak.mokhasi,Sachin.nNandal,0.07142857142857142
500,raunak.mokhasi,rhythmpatelofficial,0.07142857142857142
501,raunak.mokhasi,100021222968954,0.07142857142857142
502,raunak.mokhasi,naman.gupta.3760430,0.21428571428571427
503,raunak.mokhasi,kalra.isha,0.2857142857142857
504,raunak.mokhasi,shashwatrock,0.0
505,raunak.mokhasi,varinee.jain,0.14285714285714285
506,raunak.mokhasi,rkr9thelaw,0.21428571428571427
507,raunak.mokhasi,gandharv.mohan.98,0.0
508,raunak.mokhasi,sezal.chug,0.07142857142857142
509,raunak.mokhasi,suhavib,0.07142857142857142
510,raunak.mokhasi,angel.walia.79069,0.21428571428571427
